search_n=100, original simulation backup, loop realplay, maxQ --------------------------------
2019-02-12T15:58:47.627314  START
2019-02-12T16:09:20.839070  iter: 93, results: 0.9090909090909091
2019-02-12T16:09:23.370684  iter: 94, results: 0.9090909090909091
2019-02-12T16:09:25.630567  iter: 95, results: 0.9090909090909091
2019-02-12T16:09:27.935793  iter: 96, results: 0.9090909090909091
2019-02-12T16:09:30.731411  iter: 97, results: 0.9090909090909091
2019-02-12T16:09:33.234252  iter: 98, results: 0.9090909090909091
2019-02-12T16:09:35.508014  iter: 99, results: 0.9090909090909091
2019-02-12T16:09:37.737096  iter: 100, results: 0.9090909090909091
2019-02-12T16:09:40.369293  iter: 101, results: 0.9090909090909091
2019-02-12T16:09:43.084368  iter: 102, results: 0.9090909090909091
2019-02-12T16:09:46.027370  iter: 103, results: 0.9090909090909091
2019-02-12T16:09:48.729627  iter: 104, results: 0.9090909090909091
2019-02-12T16:09:51.652452  iter: 105, results: 0.9090909090909091
2019-02-12T16:09:54.803764  iter: 106, results: 0.9090909090909091
2019-02-12T16:09:58.143693  iter: 107, results: 0.9090909090909091
2019-02-12T16:10:00.590270  iter: 108, results: 0.9090909090909091
2019-02-12T16:10:03.135916  iter: 109, results: 0.9090909090909091
2019-02-12T16:10:06.096351  iter: 110, results: 0.9090909090909091
2019-02-12T16:10:08.744110  iter: 111, results: 0.9090909090909091
2019-02-12T16:10:11.214635  iter: 112, results: 0.9090909090909091
2019-02-12T16:10:13.809410  iter: 113, results: 0.9090909090909091
2019-02-12T16:10:16.927345  iter: 114, results: 0.9393939393939394
2019-02-12T16:10:19.965358  iter: 115, results: 0.9393939393939394
2019-02-12T16:10:22.720777  iter: 116, results: 0.9393939393939394
2019-02-12T16:10:25.652555  iter: 117, results: 0.9393939393939394
2019-02-12T16:10:28.513901  iter: 118, results: 0.9393939393939394
2019-02-12T16:10:30.692906  iter: 119, results: 0.9393939393939394
2019-02-12T16:10:32.896186  iter: 120, results: 0.9393939393939394
2019-02-12T16:10:34.946368  iter: 121, results: 0.9393939393939394
2019-02-12T16:10:36.890737  iter: 122, results: 0.9393939393939394
2019-02-12T16:10:38.826445  iter: 123, results: 0.9393939393939394
2019-02-12T16:10:40.716595  iter: 124, results: 0.9393939393939394
2019-02-12T16:10:42.530142  iter: 125, results: 0.9393939393939394
2019-02-12T16:10:45.150123  iter: 126, results: 0.9393939393939394
2019-02-12T16:10:47.024882  iter: 127, results: 0.9393939393939394
2019-02-12T16:10:48.948693  iter: 128, results: 0.9393939393939394
2019-02-12T16:10:50.907240  iter: 129, results: 0.9393939393939394
2019-02-12T16:10:53.014278  iter: 130, results: 0.9393939393939394
2019-02-12T16:10:55.113375  iter: 131, results: 0.9393939393939394
2019-02-12T16:10:57.246026  iter: 132, results: 0.9393939393939394
2019-02-12T16:10:59.363503  iter: 133, results: 0.9393939393939394
2019-02-12T16:11:01.233910  iter: 134, results: 0.9393939393939394
2019-02-12T16:11:03.171803  iter: 135, results: 0.9393939393939394
2019-02-12T16:11:28.653621  iter: 136, results: 0.9393939393939394
2019-02-12T16:11:30.459669  iter: 137, results: 0.9393939393939394
2019-02-12T16:11:32.490464  iter: 138, results: 0.9393939393939394
2019-02-12T16:11:34.541295  iter: 139, results: 0.9393939393939394
2019-02-12T16:11:36.693630  iter: 140, results: 0.9393939393939394
2019-02-12T16:11:38.761335  iter: 141, results: 0.9393939393939394
2019-02-12T16:11:40.696996  iter: 142, results: 0.9393939393939394
2019-02-12T16:11:42.737000  iter: 143, results: 0.9393939393939394
2019-02-12T16:11:45.055319  iter: 144, results: 0.9393939393939394
2019-02-12T16:11:46.864522  iter: 145, results: 0.9393939393939394
2019-02-12T16:11:48.616864  iter: 146, results: 0.9393939393939394
2019-02-12T16:11:50.558689  iter: 147, results: 0.9393939393939394
2019-02-12T16:11:52.311843  iter: 148, results: 0.9393939393939394
2019-02-12T16:11:54.275909  iter: 149, results: 0.9393939393939394
2019-02-12T16:11:56.046871  iter: 150, results: 0.9393939393939394
2019-02-12T16:11:57.830345  iter: 151, results: 0.9393939393939394
2019-02-12T16:11:59.836833  iter: 152, results: 0.9393939393939394
2019-02-12T16:12:01.976153  iter: 153, results: 0.9393939393939394
2019-02-12T16:12:03.831954  iter: 154, results: 0.9393939393939394
